id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
466663,Walk to bay/downtwn  park BLUE ROOM,2315442,Michael,,Park West,32.72699,-117.16578,Private room,67,1,676,2021-11-21,5.82,10,38,52,
468475,Garden Cottage blocks to bay/dwntwn,2315442,Michael,,Park West,32.72857,-117.16604,Private room,68,1,607,2021-12-03,5.29,10,38,54,
470519,Walk To All Bay/Park/Zoo/Gaslamp/Convention/ATTIC,2315442,Michael,,Park West,32.72796,-117.1657,Private room,66,1,605,2021-11-16,5.27,10,36,48,
470520,Outdoor shower walk to all Greenrom,2315442,Michael,,Park West,32.72839,-117.16589,Private room,67,1,776,2021-12-03,6.71,10,31,91,
472433,Beachfront La Jolla Home - Sunsets!,2342941,John,,La Jolla,32.82787,-117.27975,Entire home/apt,957,3,37,2021-08-28,0.33,1,210,8,
474236,Spacious Kid-Friendly Home w/Pool,2315693,Tina,,Lake Murray,32.79632,-117.03466,Entire home/apt,239,5,9,2017-12-28,0.08,1,49,0,
483463,Urban San Diego Cottage with Garden,2393291,Tricia,,Normal Heights,32.75748,-117.12138,Entire home/apt,125,7,187,2021-05-18,1.71,1,0,5,
483688,Quaint cottage near USD/Old Town and trolley line,2385909,James,,Moreno Mission,32.76597,-117.19067,Entire home/apt,137,2,271,2021-12-04,2.35,5,68,43,
500915,Craftsman in hip area near downtown,2471170,Matthew,,South Park,32.7264,-117.12624,Entire home/apt,259,3,48,2021-11-27,0.42,1,50,6,
506774,Cozy Backyard Cottage in South Park,2498685,Joy,,Balboa Park,32.71941,-117.129,Entire home/apt,95,7,323,2021-10-17,2.79,2,133,9,
519849,Eco Luxury Casita,2558457,Kristen,,Mission Bay,32.78917,-117.23352,Entire home/apt,200,4,134,2021-10-13,1.25,1,226,24,
522108,Charming Craftsman in South Park,2498685,Joy,,South Park,32.71905,-117.12887,Entire home/apt,200,2,34,2020-03-16,0.30,2,168,0,
528113,"Stylish Modern Condo, Stunning Views",2594906,Wendy,,Midtown,32.73608,-117.16177,Entire home/apt,99,30,35,2021-10-29,0.31,1,119,5,
531406,Extreme home stay in La Jolla!,2608408,Cooleen & Ted,,La Jolla,32.83277,-117.25975,Private room,130,2,70,2018-09-22,0.61,1,295,0,
531591,Modern Private Condo with Spacious Garage Parking,406482327,Liam,,North Hills,32.75238,-117.14018,Entire home/apt,599,865,1,2016-03-21,0.01,1,0,0,
560227,Mission Bay Luxury Home - Views to Ocean & Bay,57109,William,,Mission Bay,32.7873,-117.25408,Entire home/apt,255,30,2,2012-11-24,0.02,2,260,0,
561997,"ENCHANTING SANCTUARY, CENTRAL TO ALL",2740315,Beverlee,,Bay Park,32.80576,-117.1955,Entire home/apt,358,3,143,2021-12-05,1.25,1,345,33,
563806,803 El Carmel - Deluxe Town Home,2772383,San Diego,,Mission Bay,32.77816,-117.25234,Entire home/apt,275,3,1,2016-10-03,0.02,24,0,0,
571822,La Jolla Kid Friendly Beach House,470998,Miriam,,La Jolla,32.81561,-117.26318,Entire home/apt,523,3,205,2021-12-14,1.98,1,299,20,
576112,Casita 2 Blocks to Beach,2833833,Ryder & Michelle,,Pacific Beach,32.80451,-117.25308,Entire home/apt,115,2,626,2021-12-08,5.47,5,58,64,
585426,4 Br Large Family House Normal Heights San Diego,2885527,Linda,,Normal Heights,32.76731,-117.125,Entire home/apt,221,3,132,2021-11-24,1.16,5,43,22,
585469,Aunt Chris' San Diego Getaway New and Improved,2886419,Christine,,South Park,32.72963,-117.12269,Entire home/apt,101,1,516,2021-12-19,4.53,2,97,53,
587471,"OMG Views! Spacious-Modern, Jacuzzi, Beach & City",266381,Sean,,Ocean Beach,32.73408,-117.25157,Entire home/apt,943,3,46,2021-12-05,0.64,1,304,16,
589214,MOST POPULAR LISTING WALK TO BAY DOWNTOWN PARK/ZOO,2315442,Michael,,Park West,32.72781,-117.16383,Private room,69,1,869,2021-12-07,7.71,10,20,110,
